pick,round,player_name,team_name,cost,player_key,team_key
1,1,Josh Allen,Senior Sack Dumpers,63,414.p.30977,414.l.921976.t.12
2,1,Christian McCaffrey,Tony the phenom,60,414.p.30121,414.l.921976.t.14
3,1,CeeDee Lamb,Joe would rig a charity event,44,414.p.32687,414.l.921976.t.4
4,1,Austin Ekeler,Senior Sack Dumpers,63,414.p.30423,414.l.921976.t.12
5,1,Jonathan Taylor,Uhhh THRIIIIISISSSHHHH,70,414.p.32711,414.l.921976.t.11
6,1,Justin Tucker,Pots & Pans,9,414.p.26534,414.l.921976.t.6
7,1,Joe Mixon,Joe would rig a charity event,56,414.p.30161,414.l.921976.t.4
8,1,Graham Gano,Senior Sack Dumpers,3,414.p.9526,414.l.921976.t.12
9,1,Justin Jefferson,The Ed Orgeron Alumni Assoc.,65,414.p.32692,414.l.921976.t.10
10,1,Ja'Marr Chase,The Ed Orgeron Alumni Assoc.,66,414.p.33393,414.l.921976.t.10
11,1,Davante Adams,Free Paid,56,414.p.27581,414.l.921976.t.16
12,1,Ezekiel Elliott,Tony the phenom,39,414.p.29238,414.l.921976.t.14
13,1,Cooper Kupp,Joe would rig a charity event,63,414.p.30182,414.l.921976.t.4
14,1,Nick Chubb,From You,47,414.p.31005,414.l.921976.t.1
15,1,Alvin Kamara,Double Underhooks,50,414.p.30180,414.l.921976.t.5
16,1,Derrick Henry,From You,64,414.p.29279,414.l.921976.t.1
17,2,Aaron Jones Sr.,HAHAHAHAHAHAHA,52,414.p.30295,414.l.921976.t.9
18,2,Tyreek Hill,HAHAHAHAHAHAHA,125,414.p.29399,414.l.921976.t.9
19,2,Najee Harris,Tank Unloders,57,414.p.33412,414.l.921976.t.2
20,2,Mark Andrews,Vox Populi,26,414.p.31056,414.l.921976.t.8
21,2,Saquon Barkley,The Much Obliged,47,414.p.30972,414.l.921976.t.7
22,2,Cam Akers,Vox Populi,32,414.p.32722,414.l.921976.t.8
23,2,D'Andre Swift,Pots & Pans,44,414.p.32705,414.l.921976.t.6
24,2,Stefon Diggs,Tank Unloders,42,414.p.28534,414.l.921976.t.2
25,2,Josh Jacobs,Pots & Pans,27,414.p.31856,414.l.921976.t.6
26,2,Dalvin Cook,Vox Populi,56,414.p.30154,414.l.921976.t.8
27,2,Kyler Murray,Pots & Pans,48,414.p.31833,414.l.921976.t.6
