week,team_1,team_1_key,team_1_points,team_2,team_2_key,team_2_points
1,From You,414.l.921976.t.1,117.08,The Jose Trevinos,414.l.921976.t.3,138.06
1,Tank Unloders,414.l.921976.t.2,103.94,Uhhh THRIIIIISISSSHHHH,414.l.921976.t.11,136.08
1,Joe would rig a charity event,414.l.921976.t.4,99.6,Vox Populi,414.l.921976.t.8,103.5
1,Double Underhooks,414.l.921976.t.5,110.86,Free Paid,414.l.921976.t.16,144.86
1,Pots & Pans,414.l.921976.t.6,131.46,HAHAHAHAHAHAHA,414.l.921976.t.9,102.56
1,The Much Obliged,414.l.921976.t.7,115.42,The Ed Orgeron Alumni Assoc.,414.l.921976.t.10,131.68
1,Senior Sack Dumpers,414.l.921976.t.12,101.88,Alexander's Unreal Team,414.l.921976.t.15,115.88
1,GLOVÊ SIDE BRODEUR,414.l.921976.t.13,108.42,Tony the phenom,414.l.921976.t.14,80.16
2,From You,414.l.921976.t.1,142.98,Vox Populi,414.l.921976.t.8,139.68
2,Tank Unloders,414.l.921976.t.2,102.02,The Jose Trevinos,414.l.921976.t.3,110.82
2,Joe would rig a charity event,414.l.921976.t.4,109.88,HAHAHAHAHAHAHA,414.l.921976.t.9,141.28
2,Double Underhooks,414.l.921976.t.5,121.26,Senior Sack Dumpers,414.l.921976.t.12,114.78
2,Pots & Pans,414.l.921976.t.6,104.78,Free Paid,414.l.921976.t.16,109.3
2,The Much Obliged,414.l.921976.t.7,119.58,Alexander's Unreal Team,414.l.921976.t.15,119.14
2,The Ed Orgeron Alumni Assoc.,414.l.921976.t.10,69.96,GLOVÊ SIDE BRODEUR,414.l.921976.t.13,139.62
2,Uhhh THRIIIIISISSSHHHH,414.l.921976.t.11,90.46,Tony the phenom,414.l.921976.t.14,107.12
3,From You,414.l.921976.t.1,99.08,HAHAHAHAHAHAHA,414.l.921976.t.9,76.0
3,Tank Unloders,414.l.921976.t.2,102.9,Tony the phenom,414.l.921976.t.14,117.08
3,The Jose Trevinos,414.l.921976.t.3,102.28,Vox Populi,414.l.921976.t.8,145.72
3,Joe would rig a charity event,414.l.921976.t.4,106.44,Free Paid,414.l.921976.t.16,127.16
3,Double Underhooks,414.l.921976.t.5,85.66,The Much Obliged,414.l.921976.t.7,111.92
3,Pots & Pans,414.l.921976.t.6,77.1,Senior Sack Dumpers,414.l.921976.t.12,90.3
3,The Ed Orgeron Alumni Assoc.,414.l.921976.t.10,87.24,Uhhh THRIIIIISISSSHHHH,414.l.921976.t.11,104.14
3,GLOVÊ SIDE BRODEUR,414.l.921976.t.13,135.04,Alexander's Unreal Team,414.l.921976.t.15,115.48
4,From You,414.l.921976.t.1,119.1,Free Paid,414.l.921976.t.16,105.84
4,Tank Unloders,414.l.921976.t.2,120.42,The Ed Orgeron Alumni Assoc.,414.l.921976.t.10,108.22
4,The Jose Trevinos,414.l.921976.t.3,75.54,Tony the phenom,414.l.921976.t.14,116.06
4,Joe would rig a charity event,414.l.921976.t.4,133.68,Senior Sack Dumpers,414.l.921976.t.12,141.32
4,Double Underhooks,414.l.921976.t.5,104.76,GLOVÊ SIDE BRODEUR,414.l.921976.t.13,89.48
4,Pots & Pans,414.l.921976.t.6,167.14,The Much Obliged,414.l.921976.t.7,127.9
4,Vox Populi,414.l.921976.t.8,90.56,HAHAHAHAHAHAHA,414.l.921976.t.9,111.06
4,Uhhh THRIIIIISISSSHHHH,414.l.921976.t.11,122.12,Alexander's Unreal Team,414.l.921976.t.15,89.46
5,From You,414.l.921976.t.1,143.36,Senior Sack Dumpers,414.l.921976.t.12,136.86
5,Tank Unloders,414.l.921976.t.2,148.66,Alexander's Unreal Team,414.l.921976.t.15,124.48
5,The Jose Trevinos,414.l.921976.t.3,78.72,HAHAHAHAHAHAHA,414.l.921976.t.9,101.6
5,Joe would rig a charity event,414.l.921976.t.4,87.54,The Much Obliged,414.l.921976.t.7,85.54
5,Double Underhooks,414.l.921976.t.5,130.5,Uhhh THRIIIIISISSSHHHH,414.l.921976.t.11,77.06
5,Pots & Pans,414.l.921976.t.6,124.02,GLOVÊ SIDE BRODEUR,414.l.921976.t.13,143.88
5,Vox Populi,414.l.921976.t.8,64.42,Free Paid,414.l.921976.t.16,140.1
5,The Ed Orgeron Alumni Assoc.,414.l.921976.t.10,101.94,Tony the phenom,414.l.921976.t.14,127.98
6,From You,414.l.921976.t.1,77.36,The Much Obliged,414.l.921976.t.7,90.84
6,Tank Unloders,414.l.921976.t.2,94.98,Double Underhooks,414.l.921976.t.5,97.74
6,The Jose Trevinos,414.l.921976.t.3,99.08,The Ed Orgeron Alumni Assoc.,414.l.921976.t.10,106.08
6,Joe would rig a charity event,414.l.921976.t.4,119.74,GLOVÊ SIDE BRODEUR,414.l.921976.t.13,154.0
