team_key,team_name,team_id,wins,losses,ties,points_for,points_against,rank
414.l.921976.t.5,Double Underhooks,5,0,0,0,0.0,0.0,0
414.l.921976.t.13,GLOVÊ SIDE BRODEUR,13,0,0,0,0.0,0.0,0
414.l.921976.t.6,Pots & Pans,6,0,0,0,0.0,0.0,0
414.l.921976.t.16,Free Paid,16,0,0,0,0.0,0.0,0
414.l.921976.t.8,Vox Populi,8,0,0,0,0.0,0.0,0
414.l.921976.t.7,The Much Obliged,7,0,0,0,0.0,0.0,0
414.l.921976.t.1,From You,1,0,0,0,0.0,0.0,0
414.l.921976.t.9,HAHAHAHAHAHAHA,9,0,0,0,0.0,0.0,0
414.l.921976.t.2,Tank Unloders,2,0,0,0,0.0,0.0,0
414.l.921976.t.11,Uhhh THRIIIIISISSSHHHH,11,0,0,0,0.0,0.0,0
414.l.921976.t.3,The Jose Trevinos,3,0,0,0,0.0,0.0,0
414.l.921976.t.14,Tony the phenom,14,0,0,0,0.0,0.0,0
414.l.921976.t.12,Senior Sack Dumpers,12,0,0,0,0.0,0.0,0
414.l.921976.t.4,Joe would rig a charity event,4,0,0,0,0.0,0.0,0
414.l.921976.t.15,Alexander's Unreal Team,15,0,0,0,0.0,0.0,0
414.l.921976.t.10,The Ed Orgeron Alumni Assoc.,10,0,0,0,0.0,0.0,0
