week,team_1,team_1_key,team_1_points,team_2,team_2_key,team_2_points,is_playoffs,is_consolation,status
1,Boone,470.l.165433.t.1,161.36,Work Ass,470.l.165433.t.13,60.4,0,0,postevent
1,Shough and F#ck,470.l.165433.t.2,128.66,The Art of the Deal,470.l.165433.t.7,73.3,0,0,postevent
1,Nick Wright Barely Legal,470.l.165433.t.3,143.16,Charles Dickens,470.l.165433.t.4,114.18,0,0,postevent
1,Free Paid,470.l.165433.t.5,78.84,Healthy as a Fucking Rhino,470.l.165433.t.10,109.14,0,0,postevent
1,Stewed C,470.l.165433.t.6,105.02,🍾💼🥰,470.l.165433.t.9,122.66,0,0,postevent
1,Pelosis Powder,470.l.165433.t.8,105.9,Tuanigamanuolepola Donny,470.l.165433.t.16,83.6,0,0,postevent
1,Ginny Sack,470.l.165433.t.11,120.84,Phenom,470.l.165433.t.12,103.82,0,0,postevent
1,Pigs on the 7th Rank,470.l.165433.t.14,136.26,Hello Darkness My Old Friend,470.l.165433.t.15,157.9,0,0,postevent
2,Boone,470.l.165433.t.1,117.64,Stewed C,470.l.165433.t.6,68.16,0,0,postevent
2,Shough and F#ck,470.l.165433.t.2,119.36,Hello Darkness My Old Friend,470.l.165433.t.15,139.76,0,0,postevent
2,Nick Wright Barely Legal,470.l.165433.t.3,153.52,Work Ass,470.l.165433.t.13,113.38,0,0,postevent
2,Charles Dickens,470.l.165433.t.4,104.12,Pelosis Powder,470.l.165433.t.8,115.68,0,0,postevent
2,Free Paid,470.l.165433.t.5,113.64,🍾💼🥰,470.l.165433.t.9,86.5,0,0,postevent
2,The Art of the Deal,470.l.165433.t.7,103.48,Tuanigamanuolepola Donny,470.l.165433.t.16,71.84,0,0,postevent
2,Healthy as a Fucking Rhino,470.l.165433.t.10,153.4,Phenom,470.l.165433.t.12,127.88,0,0,postevent
2,Ginny Sack,470.l.165433.t.11,79.48,Pigs on the 7th Rank,470.l.165433.t.14,87.94,0,0,postevent
3,Boone,470.l.165433.t.1,0.0,Free Paid,470.l.165433.t.5,0.0,0,0,midevent
3,Shough and F#ck,470.l.165433.t.2,0.0,Ginny Sack,470.l.165433.t.11,0.0,0,0,midevent
3,Nick Wright Barely Legal,470.l.165433.t.3,0.0,Stewed C,470.l.165433.t.6,0.0,0,0,midevent
3,Charles Dickens,470.l.165433.t.4,0.0,Tuanigamanuolepola Donny,470.l.165433.t.16,0.0,0,0,midevent
3,The Art of the Deal,470.l.165433.t.7,0.0,Hello Darkness My Old Friend,470.l.165433.t.15,0.0,0,0,midevent
3,Pelosis Powder,470.l.165433.t.8,0.0,Work Ass,470.l.165433.t.13,0.0,0,0,midevent
3,🍾💼🥰,470.l.165433.t.9,0.0,Phenom,470.l.165433.t.12,0.0,0,0,midevent
3,Healthy as a Fucking Rhino,470.l.165433.t.10,0.0,Pigs on the 7th Rank,470.l.165433.t.14,0.0,0,0,midevent
4,Boone,470.l.165433.t.1,0.0,Phenom,470.l.165433.t.12,0.0,0,0,preevent
4,Shough and F#ck,470.l.165433.t.2,0.0,Healthy as a Fucking Rhino,470.l.165433.t.10,0.0,0,0,preevent
4,Nick Wright Barely Legal,470.l.165433.t.3,0.0,Free Paid,470.l.165433.t.5,0.0,0,0,preevent
4,Charles Dickens,470.l.165433.t.4,0.0,The Art of the Deal,470.l.165433.t.7,0.0,0,0,preevent
4,Stewed C,470.l.165433.t.6,0.0,Pelosis Powder,470.l.165433.t.8,0.0,0,0,preevent
4,🍾💼🥰,470.l.165433.t.9,0.0,Pigs on the 7th Rank,470.l.165433.t.14,0.0,0,0,preevent
4,Ginny Sack,470.l.165433.t.11,0.0,Hello Darkness My Old Friend,470.l.165433.t.15,0.0,0,0,preevent
4,Work Ass,470.l.165433.t.13,0.0,Tuanigamanuolepola Donny,470.l.165433.t.16,0.0,0,0,preevent
