week,team_key,player_key,player_name,display_position,points
1,470.l.165433.t.1,470.p.32723,Jalen Hurts,QB,24.72
1,470.l.165433.t.1,470.p.29279,Derrick Henry,RB,34.8
1,470.l.165433.t.1,470.p.32705,D'Andre Swift,RB,31.9
1,470.l.165433.t.1,470.p.33394,Jaylen Waddle,WR,0.7
1,470.l.165433.t.1,470.p.33989,Christian Watson,WR,29.7
1,470.l.165433.t.1,470.p.40102,Tucker Kraft,TE,8.0
1,470.l.165433.t.1,470.p.31960,Tony Pollard,RB,3.9
1,470.l.165433.t.1,470.p.30971,Baker Mayfield,QB,11.64
1,470.l.165433.t.1,470.p.40234,Parker Washington,WR,16.8
1,470.l.165433.t.1,470.p.40893,Marvin Harrison Jr.,WR,3.8
1,470.l.165433.t.1,470.p.42626,Carnell Tate,WR,5.8
1,470.l.165433.t.1,470.p.24822,Andy Dalton,QB,0.0
1,470.l.165433.t.1,470.p.34107,Tyler Allgeier,RB,8.0
1,470.l.165433.t.1,470.p.42919,Jalon Daniels,QB,0.0
1,470.l.165433.t.1,470.p.29792,Ka'imi Fairbairn,K,9.0
1,470.l.165433.t.1,470.p.100003,Bears,DEF,7.0
1,470.l.165433.t.15,470.p.32671,Joe Burrow,QB,14.16
1,470.l.165433.t.15,470.p.32711,Jonathan Taylor,RB,23.6
1,470.l.165433.t.15,470.p.33996,Kenneth Walker,RB,32.6
1,470.l.165433.t.15,470.p.30197,Chris Godwin Jr.,WR,6.3
1,470.l.165433.t.15,470.p.31868,Deebo Samuel Sr.,WR,15.0
1,470.l.165433.t.15,470.p.34010,Trey McBride,TE,20.0
1,470.l.165433.t.15,470.p.34047,Rachaad White,RB,3.7
1,470.l.165433.t.15,470.p.7200,Aaron Rodgers,QB,12.54
1,470.l.165433.t.15,470.p.34147,Jalen Nailor,WR,4.2
1,470.l.165433.t.15,470.p.42630,Jordyn Tyson,WR,0.0
1,470.l.165433.t.15,470.p.32887,Jauan Jennings,WR,0.0
1,470.l.165433.t.15,470.p.40224,Kayshon Boutte,WR,2.6
1,470.l.165433.t.15,470.p.40625,Chris Brooks,RB,2.9
1,470.l.165433.t.15,470.p.42012,Brashard Smith,RB,0.0
1,470.l.165433.t.15,470.p.33537,Evan McPherson,K,19.0
1,470.l.165433.t.15,470.p.100008,Lions,DEF,11.0
1,470.l.165433.t.3,470.p.30977,Josh Allen,QB,35.66
